ensembl,ucsc,gencode,refseq,genbank
1,chr1,chr1,NC_000001.11,CM000663.2
10,chr10,chr10,NC_000010.11,CM000672.2
11,chr11,chr11,NC_000011.10,CM000673.2
12,chr12,chr12,NC_000012.12,CM000674.2
13,chr13,chr13,NC_000013.11,CM000675.2
14,chr14,chr14,NC_000014.9,CM000676.2
15,chr15,chr15,NC_000015.10,CM000677.2
16,chr16,chr16,NC_000016.10,CM000678.2
17,chr17,chr17,NC_000017.11,CM000679.2
18,chr18,chr18,NC_000018.10,CM000680.2
19,chr19,chr19,NC_000019.10,CM000681.2
2,chr2,chr2,NC_000002.12,CM000664.2
20,chr20,chr20,NC_000020.11,CM000682.2
21,chr21,chr21,NC_000021.9,CM000683.2
22,chr22,chr22,NC_000022.11,CM000684.2
3,chr3,chr3,NC_000003.12,CM000665.2
4,chr4,chr4,NC_000004.12,CM000666.2
5,chr5,chr5,NC_000005.10,CM000667.2
6,chr6,chr6,NC_000006.12,CM000668.2
7,chr7,chr7,NC_000007.14,CM000669.2
8,chr8,chr8,NC_000008.11,CM000670.2
9,chr9,chr9,NC_000009.12,CM000671.2
MT,chrM,chrM,NC_012920.1,J01415.2
X,chrX,chrX,NC_000023.11,CM000685.2
Y,chrY,chrY,NC_000024.10,CM000686.2
