ID	name	habitat	Riv_vs_Gro	Sed_vs_Soil
SRR10070130	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070131	SRR10070131-Riverwater	Riverwater	Riverwater	
SRR10070132	SRR10070132-Groundwater	Groundwater	Groundwater	
SRR10070133	SRR10070133-Groundwater	Groundwater	Groundwater	
SRR10070134	SRR10070134-Riverwater	Riverwater	Riverwater	
SRR10070141	SRR10070141-Groundwater	Groundwater	Groundwater	
SRR10070149	SRR10070149-Sediment	Sediment		Sediment
SRR10070150	SRR10070150-Sediment	Sediment		Sediment
SRR10070151	SRR10070151-Sediment	Sediment		Sediment
SRR10102392	SRR10102392-Soil	Soil		Soil
SRR10102393	SRR10102393-Soil	Soil		Soil
SRR10102394	SRR10102394-Soil	Soil		Soil
