ncbi_accession,ref_ncbi_accession,ploidy
SRR12574846,GCF_017189435.1,1
SRR12574847,GCF_017189435.1,1
SRR12574848,GCF_017189435.1,1
SRR12574849,GCF_017189435.1,1
SRR12574850,GCF_017189435.1,1
SRR12574851,GCF_017189435.1,1
SRR12574852,GCF_017189435.1,1
SRR12574853,GCF_017189435.1,1
SRR12574854,GCF_017189435.1,1
SRR12574855,GCF_017189435.1,1
SRR12574856,GCF_017189435.1,1
SRR12574857,GCF_017189435.1,1
SRR12574858,GCF_017189435.1,1
SRR12574859,GCF_017189435.1,1
SRR12574860,GCF_017189435.1,1
SRR12574861,GCF_017189435.1,1
SRR12574862,GCF_017189435.1,1
SRR12574863,GCF_017189435.1,1
SRR12574864,GCF_017189435.1,1
SRR12574865,GCF_017189435.1,1
SRR12574866,GCF_017189435.1,1
SRR12574867,GCF_017189435.1,1
SRR12574868,GCF_017189435.1,1
SRR12574869,GCF_017189435.1,1
SRR12574870,GCF_017189435.1,1
SRR12574871,GCF_017189435.1,1
SRR12574872,GCF_017189435.1,1
SRR12574873,GCF_017189435.1,1
SRR12574874,GCF_017189435.1,1
SRR12574875,GCF_017189435.1,1
SRR12574876,GCF_017189435.1,1
